term,true_val,nsam,beta_0,beta_logTitre,risk_prop_expected,long_prop_expected,max_follow,kappa,model_name,data_name,par_varied,est_mean,est_sd,se_mean,coverage,nsim
beta_logTitre,-1.5,10000,-3,-1.5,0.01,0,100,0.5,std,std_05,risk_prop_expected,-0.5882943799800141,0.04590125289319727,0.06045775195138539,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.01,0,100,1,std,std_1,risk_prop_expected,-0.6440469933813566,0.0425111453686173,0.05278597460164406,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.01,0,100,10,std,std_10,risk_prop_expected,-0.8721901515394161,0.040931660873919834,0.03410150571119752,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.01,0,100,100,std,std_100,risk_prop_expected,-1.2510166087993722,0.04800167623335167,0.03352155877232557,2e-4,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.01,0,100,1000,std,std_1000,risk_prop_expected,-1.4698483855498523,0.039116228996058704,0.03828235593760736,0.8575,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.1,0,100,0.5,std,std_05,risk_prop_expected,-0.6206275879541634,0.020814551416330013,0.020068209207293127,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.1,0,100,1,std,std_1,risk_prop_expected,-0.6970583538882595,0.02297486036657014,0.018401578107217972,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.1,0,100,10,std,std_10,risk_prop_expected,-1.1485538897871248,0.032645391681731147,0.01903696692735,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.1,0,100,100,std,std_100,risk_prop_expected,-1.4573252698394767,0.024410878585311303,0.02351143811749238,0.5471,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.1,0,100,1000,std,std_1000,risk_prop_expected,-1.4961722723352555,0.02431660799156128,0.024126638757983817,0.9436,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.2,0,100,0.5,std,std_05,risk_prop_expected,-0.6587904182379001,0.020372543017551963,0.0150658666449448,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.2,0,100,1,std,std_1,risk_prop_expected,-0.7570124643830127,0.02403017200773947,0.014477007138986477,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.2,0,100,10,std,std_10,risk_prop_expected,-1.2912902510646336,0.025241618069599833,0.018641160705279172,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.2,0,100,100,std,std_100,risk_prop_expected,-1.4790546508650888,0.021496259594376073,0.02130321978431347,0.8261,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.2,0,100,1000,std,std_1000,risk_prop_expected,-1.4983295885861672,0.02119052574165105,0.02157207678024531,0.9536,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.30000000000000004,0,100,0.5,std,std_05,risk_prop_expected,-0.7005460147211341,0.021218091637646416,0.013079379979676292,0,10000
