population,virus,prehi,prot0,prop0,mean.age0,prot1,prop1,mean.age1
General,H1N1pdm,5,1320,0.832282471626734,39.0091966896895,266,0.1677175283732661,26.333554625784174
General,H1N1pdm,10,112,0.9105691056910569,39.15999315537303,11,0.08943089430894309,22.776180698151965
General,H1N1pdm,20,179,0.9728260869565217,29.82963379333815,5,0.02717391304347826,31.142505133470216
General,H1N1pdm,40,221,0.9692982456140351,22.421833430892498,7,0.03070175438596491,18.637723672631257
General,H1N1pdm,80,121,0.9918032786885246,19.713883279311695,1,0.00819672131147541,15.4168377823409
General,H1N1pdm,160,50,1,23.976235455167696,0,0,NaN
General,H1N1pdm,320,7,1,19.91786447638604,0,0,NaN
General,H3N2,5,1299,0.8424124513618677,39.00055800307613,243,0.1575875486381323,34.91252116060087
General,H3N2,10,357,0.875,32.99795044643456,51,0.125,25.74739300237549
General,H3N2,20,377,0.9425,29.23511929077319,23,0.0575,21.815433145850072
General,H3N2,40,238,0.9558232931726908,25.547656434236938,11,0.04417670682730924,24.0684462696783
General,H3N2,80,149,0.9802631578947368,20.201075846735485,3,0.019736842105263157,27.78644763860369
General,H3N2,160,60,1,18.45329682865617,0,0,NaN
General,H3N2,320,9,1,20.404289299566504,0,0,NaN
General,H3N2,640,4,1,12.592060232717325,0,0,NaN
General,H3N2,1280,1,1,8.97741273100616,0,0,NaN
Exposed,H1N1pdm,5,290,0.5215827338129496,35.55229531025042,266,0.4784172661870504,26.333554625784174
Exposed,H1N1pdm,10,29,0.725,36.659916448346664,11,0.275,22.776180698151965
Exposed,H1N1pdm,20,27,0.84375,34.67417040586103,5,0.15625,31.142505133470216
Exposed,H1N1pdm,40,39,0.8478260869565217,21.757559802734335,7,0.15217391304347827,18.637723672631257
Exposed,H1N1pdm,80,18,0.9473684210526315,19.87603620047152,1,0.05263157894736842,15.4168377823409
Exposed,H1N1pdm,160,11,1,15.454421006782399,0,0,NaN
Exposed,H1N1pdm,320,1,1,35.4880219028063,0,0,NaN
Exposed,H3N2,5,264,0.5207100591715976,36.546159749445174,243,0.47928994082840237,34.91252116060087
Exposed,H3N2,10,67,0.5677966101694916,29.835953701717287,51,0.4322033898305085,25.74739300237549
Exposed,H3N2,20,74,0.7628865979381443,24.469134432173444,23,0.23711340206185566,21.815433145850072
Exposed,H3N2,40,39,0.78,20.90608820793626,11,0.22,24.0684462696783
Exposed,H3N2,80,29,0.90625,13.443697042649104,3,0.09375,27.78644763860369
Exposed,H3N2,160,17,1,22.741877038289633,0,0,NaN
Exposed,H3N2,320,2,1,35.623545516769354,0,0,NaN
