virus,hi,loghimid,ntot,inf_prop
bvic,5,1.6094379124341003,152,0.16447368421052633
bvic,10,2.6491586832740186,2,0
bvic,20,3.3423058638339636,12,0.25
bvic,40,4.0354530443939085,27,0.037037037037037035
bvic,80,4.728600224953854,31,0
bvic,160,5.421747405513799,41,0
bvic,320,6.114894586073745,34,0.058823529411764705
bvic,640,6.80804176663369,21,0
bvic,1280,7.5011889471936355,8,0
bvic,2560,8.19433612775358,4,0
byam,5,1.6094379124341003,106,0.03773584905660377
byam,10,2.6491586832740186,3,0
byam,20,3.3423058638339636,15,0
byam,40,4.0354530443939085,35,0
byam,80,4.728600224953854,46,0
byam,160,5.421747405513799,54,0
byam,320,6.114894586073745,37,0
byam,640,6.80804176663369,20,0
byam,1280,7.5011889471936355,6,0
byam,2560,8.19433612775358,7,0
byam,5120,8.887483308313525,2,0
byam,10240,9.58063048887347,1,0
h1pdm,5,1.6094379124341003,146,0.0821917808219178
h1pdm,10,2.6491586832740186,1,0
h1pdm,20,3.3423058638339636,5,0.2
h1pdm,40,4.0354530443939085,33,0.030303030303030304
h1pdm,80,4.728600224953854,66,0
h1pdm,160,5.421747405513799,39,0.02564102564102564
h1pdm,320,6.114894586073745,31,0
h1pdm,640,6.80804176663369,6,0
h1pdm,1280,7.5011889471936355,4,0
h1seas,5,1.6094379124341003,55,0
h1seas,10,2.6491586832740186,1,0
h1seas,20,3.3423058638339636,13,0
h1seas,40,4.0354530443939085,12,0
h1seas,80,4.728600224953854,36,0
h1seas,160,5.421747405513799,57,0
h1seas,320,6.114894586073745,44,0
h1seas,640,6.80804176663369,57,0
h1seas,1280,7.5011889471936355,26,0
h1seas,2560,8.19433612775358,20,0
h1seas,5120,8.887483308313525,10,0
h3,5,1.6094379124341003,44,0
h3,10,2.6491586832740186,2,0
h3,20,3.3423058638339636,9,0.1111111111111111
h3,40,4.0354530443939085,10,0.1
h3,80,4.728600224953854,25,0.04
h3,160,5.421747405513799,28,0
h3,320,6.114894586073745,46,0.043478260869565216
h3,640,6.80804176663369,71,0.028169014084507043
h3,1280,7.5011889471936355,48,0.020833333333333332
h3,2560,8.19433612775358,40,0
h3,5120,8.887483308313525,7,0
h3,20480,10.273777669433416,1,0
