virus,hi,loghimid,ntot,inf_prop
bvic,5,1.6094379124341003,363,0.06887052341597796
bvic,10,2.6491586832740186,6,0
bvic,20,3.3423058638339636,25,0.12
bvic,40,4.0354530443939085,62,0.016129032258064516
bvic,80,4.728600224953854,73,0
bvic,160,5.421747405513799,87,0
bvic,320,6.114894586073745,76,0.02631578947368421
bvic,640,6.80804176663369,45,0
bvic,1280,7.5011889471936355,14,0
bvic,2560,8.19433612775358,10,0
byam,5,1.6094379124341003,258,0.015503875968992248
byam,10,2.6491586832740186,3,0
byam,20,3.3423058638339636,38,0
byam,40,4.0354530443939085,91,0
byam,80,4.728600224953854,98,0
byam,160,5.421747405513799,114,0
byam,320,6.114894586073745,78,0
byam,640,6.80804176663369,53,0
byam,1280,7.5011889471936355,12,0
byam,2560,8.19433612775358,11,0
byam,5120,8.887483308313525,4,0
byam,10240,9.58063048887347,1,0
h1pdm,5,1.6094379124341003,365,0.03287671232876712
h1pdm,10,2.6491586832740186,3,0
h1pdm,20,3.3423058638339636,15,0.06666666666666667
h1pdm,40,4.0354530443939085,66,0.015151515151515152
h1pdm,80,4.728600224953854,128,0
h1pdm,160,5.421747405513799,92,0.010869565217391304
h1pdm,320,6.114894586073745,65,0
h1pdm,640,6.80804176663369,21,0
h1pdm,1280,7.5011889471936355,5,0
h1seas,5,1.6094379124341003,134,0
h1seas,10,2.6491586832740186,6,0
h1seas,20,3.3423058638339636,26,0
h1seas,40,4.0354530443939085,30,0
h1seas,80,4.728600224953854,92,0
h1seas,160,5.421747405513799,114,0
h1seas,320,6.114894586073745,97,0
h1seas,640,6.80804176663369,127,0
h1seas,1280,7.5011889471936355,76,0
h1seas,2560,8.19433612775358,45,0
h1seas,5120,8.887483308313525,13,0
h3,5,1.6094379124341003,103,0
h3,10,2.6491586832740186,7,0
h3,20,3.3423058638339636,19,0.05263157894736842
h3,40,4.0354530443939085,27,0.037037037037037035
h3,80,4.728600224953854,67,0.014925373134328358
h3,160,5.421747405513799,83,0
h3,320,6.114894586073745,110,0.01818181818181818
h3,640,6.80804176663369,154,0.012987012987012988
h3,1280,7.5011889471936355,87,0.011494252873563218
h3,2560,8.19433612775358,88,0
h3,5120,8.887483308313525,11,0
h3,10240,9.58063048887347,2,0
h3,20480,10.273777669433416,2,0
