virus,term,estimate,std.error,statistic,p.value,ind
bvic,(Intercept),-0.3998948830291847,0.3608015725676693,-1.1083512751435787,0.2677101391167941,1
bvic,logHImid,-0.5992642846608386,0.15197023514061564,-3.943300371328299,8.036789284451849e-5,1
bvic,(Intercept),-0.41643835933642787,0.42627775296031023,-0.9769178814621403,0.32860980843313886,2
bvic,logHImid,-0.7364793820001312,0.19242490755956818,-3.8273599366139353,1.2952504332598038e-4,2
bvic,(Intercept),-0.8955412847537593,0.3451165111670866,-2.5948955085495373,0.009461968004701877,3
bvic,logHImid,-0.4075200975733861,0.11861293332666954,-3.435713847924518,5.909948355032298e-4,3
bvic,(Intercept),-1.0861813127903948,0.3756180785530136,-2.891717344848444,0.003831424776178425,4
bvic,logHImid,-0.40406889292333564,0.12325331800129007,-3.278361179040278,0.001044117062962566,4
bvic,(Intercept),-0.4569055152460549,0.4023423127349389,-1.1356138809766745,0.2561181968640762,5
bvic,logHImid,-0.6444558245771101,0.1640507607242751,-3.9283927836230266,8.551546042736985e-5,5
bvic,(Intercept),-0.7006562068815173,0.4153996477695831,-1.6867039022386519,0.09166030138175749,6
bvic,logHImid,-0.6008112907256253,0.16884197642245866,-3.5584237015938407,3.730871329507398e-4,6
bvic,(Intercept),-0.5929238329450742,0.32485141568577847,-1.8252154810327077,0.06796851853742811,7
bvic,logHImid,-0.46854757111594775,0.11705515857632179,-4.002793014973769,6.259906547522235e-5,7
bvic,(Intercept),-0.7586957371935512,0.3796560074870075,-1.998376746927981,0.04567583065891046,8
bvic,logHImid,-0.4826616618659445,0.134624528218028,-3.5852431072906796,3.3676435414638797e-4,8
bvic,(Intercept),-0.02727950083916807,0.4479799038254921,-0.06089447452043438,0.951443249975224,9
bvic,logHImid,-0.8241840452583001,0.2064127316665083,-3.992893454798597,6.52719017123026e-5,9
bvic,(Intercept),-0.9988454380870838,0.40257762276861986,-2.4811250839472687,0.01309684051873611,10
bvic,logHImid,-0.47261164613435774,0.14242814339248988,-3.3182462038557907,9.058460104377835e-4,10
bvic,(Intercept),0.08077399756578127,0.536759724840297,0.15048446041627675,0.8803824099201576,11
bvic,logHImid,-0.9497319567725748,0.2681165919977932,-3.542234927334866,3.9675195346717667e-4,11
bvic,(Intercept),-0.754078447139571,0.3563205249339436,-2.116292479304597,0.03431993998730474,12
bvic,logHImid,-0.505364058116762,0.1423839604856765,-3.549304685674904,3.8624988153582374e-4,12
bvic,(Intercept),-0.11555610385174522,0.3438978457421882,-0.336018690673552,0.7368567720077188,13
bvic,logHImid,-0.6542175779775086,0.13823628096204454,-4.732604012669704,2.216576546989564e-6,13
bvic,(Intercept),-0.6321131278649689,0.3719614965849373,-1.6994047332009967,0.08924295076956706,14
bvic,logHImid,-0.5633206154465097,0.1465244438661924,-3.8445504421155814,1.2077364142791286e-4,14
bvic,(Intercept),-0.13096079456376716,0.5125970001106844,-0.25548490243893146,0.7983486029033215,15
bvic,logHImid,-0.8752630202668572,0.25062588713595463,-3.4923089161657974,4.7886408232197054e-4,15
bvic,(Intercept),-0.7454248093563525,0.36349101127323324,-2.0507379446476124,0.04029247364167014,16
bvic,logHImid,-0.5145586924704931,0.13664616033380345,-3.7656286222277546,1.6613057309967938e-4,16
bvic,(Intercept),-0.7173219615019027,0.39358444504527984,-1.8225363591779613,0.06837364205847704,17
bvic,logHImid,-0.5583279467747148,0.15451785609661375,-3.6133555103535406,3.022598227130577e-4,17
bvic,(Intercept),-0.18044341596657207,0.44055263334197126,-0.409584241042332,0.6821109590547632,18
bvic,logHImid,-0.808191069180399,0.2051323241639186,-3.9398523488408577,8.153177360020282e-5,18
bvic,(Intercept),-0.5040899455390858,0.3577883444444152,-1.4089054419082663,0.158863130209033,19
bvic,logHImid,-0.5800417583611506,0.14790316232618908,-3.9217671159857486,8.79019300136486e-5,19
bvic,(Intercept),-0.45915819974080124,0.42394665797458286,-1.083056538137233,0.27878332853462623,20
bvic,logHImid,-0.7073880931895736,0.18898950333986447,-3.7430020222734814,1.8183476496497515e-4,20
bvic,(Intercept),-0.06544918925717351,0.42307020958988506,-0.1547005385243705,0.8770574054245458,21
bvic,logHImid,-0.8227029346270982,0.20565165326162166,-4.000468372507996,6.321723623538816e-5,21
bvic,(Intercept),-0.3531292136236345,0.35269504289782566,-1.001231008868856,0.3167151383253309,22
bvic,logHImid,-0.6018645176914782,0.13613953071623325,-4.42093868345994,9.827305948602213e-6,22
bvic,(Intercept),-0.6539869143813715,0.42126770922291146,-1.5524259278921326,0.12056034355417443,23
bvic,logHImid,-0.6154075523500189,0.17376388485811303,-3.541630948528402,3.9766142049307287e-4,23
bvic,(Intercept),-0.7047969227006822,0.39329388784737496,-1.792036297737207,0.07312715183176334,24
bvic,logHImid,-0.5509332135373786,0.14315948807655932,-3.8483877033895832,1.1889777784957049e-4,24
bvic,(Intercept),-0.7407548128967995,0.41103345944865466,-1.8021764308200627,0.07151765165789241,25
bvic,logHImid,-0.6038715361927102,0.165738677372823,-3.6435160806449756,2.689388417540702e-4,25
