virus,term,estimate,std.error,statistic,p.value,ind
bvic,b0,-1.7616559187894545,0.3930879114997905,-4.481582534726188,7.409156839588808e-6,1
bvic,b1,-0.5562338813558806,0.1666288765578032,-3.3381601847559974,8.433511565065502e-4,1
bvic,b0,-2.286414681424751,0.45268964591339966,-5.05073332704885,4.401171450644287e-7,2
bvic,b1,-0.4833038981376382,0.17934599944436347,-2.6948128178770347,0.00704281830189965,2
bvic,b0,-2.3212185902257287,0.40645913615577395,-5.71082892164621,1.1242721976864818e-8,3
bvic,b1,-0.3991139835684187,0.1427600574355058,-2.795697835500837,0.005178779461986379,3
bvic,b0,-2.308973465108469,0.393803632753804,-5.863260958163838,4.5386406745383325e-9,4
bvic,b1,-0.3681267292629626,0.13433665744211595,-2.7403296782308577,0.0061377584536416105,4
bvic,b0,-2.06678746146357,0.3301753533584462,-6.2596660848268,3.858026567421444e-10,5
bvic,b1,-0.3235880340488748,0.11075059123107088,-2.9217725201460847,0.0034804564126373946,5
bvic,b0,-2.5218078485162247,0.41563658653834756,-6.067338463919266,1.3004730835571744e-9,6
bvic,b1,-0.35413276220295475,0.1460687170842302,-2.4244257721435654,0.01533261741307503,6
bvic,b0,-2.0131161910683986,0.3167615541564714,-6.35530469102944,2.080138917744757e-10,7
bvic,b1,-0.31865777179289695,0.10476136196677117,-3.041749036194954,0.002352079086885472,7
bvic,b0,-1.5714260520389634,0.3329196347769421,-4.720136296832799,2.3568666660113056e-6,8
bvic,b1,-0.49756448038404577,0.12736890484487368,-3.906483148222434,9.364917122922706e-5,8
bvic,b0,-1.5862044580189507,0.42225496385965405,-3.756508729986562,1.723002636166253e-4,9
bvic,b1,-0.6449272372318279,0.184949775758381,-3.4870398441269965,4.883985888156413e-4,9
bvic,b0,-2.398325762378778,0.37547542460882394,-6.387437379896143,1.6868864850289726e-10,10
bvic,b1,-0.3195062021766551,0.12772003767091208,-2.501613748344688,0.012362872108196723,10
bvic,b0,-1.5016115081844414,0.3372400044875943,-4.45264941348226,8.481718014027497e-6,11
bvic,b1,-0.5217465768938373,0.13012522113239952,-4.00957302783733,6.082863884775694e-5,11
bvic,b0,-1.943594527775032,0.4380709784017695,-4.436711454536248,9.134360340703993e-6,12
bvic,b1,-0.5682502161305063,0.1838919512056669,-3.0901309840090208,0.0020006824285014285,12
bvic,b0,-1.606248403387103,0.32702888657476076,-4.911640742842773,9.031742261500376e-7,13
bvic,b1,-0.47609893544583315,0.12892488258447732,-3.692839783149478,2.2176374631301736e-4,13
bvic,b0,-1.7942530649464516,0.48740391930949195,-3.681244638919565,2.3209817336861317e-4,14
bvic,b1,-0.6713639788069565,0.22481318738724163,-2.9863193819254445,0.0028235757933759865,14
bvic,b0,-1.8871562911139679,0.4267529582388005,-4.422128200123598,9.773343502065242e-6,15
bvic,b1,-0.5670251101597904,0.17907655162014868,-3.1663839013526767,0.0015434694484296903,15
bvic,b0,-2.065166286989697,0.3430391174759626,-6.020206389827851,1.7419481366659271e-9,16
