virus,population,prob_type,loghi,prob_lb,prob_med,prob_ub
bvic,General,inf,0,0.05163490183862798,0.08191383160442706,0.15646887097161064
bvic,General,inf,0.087,0.05139545996889394,0.08165237363583866,0.1531059950633431
bvic,General,inf,0.174,0.05123561280988404,0.08131774085875738,0.14875692803846396
bvic,General,inf,0.261,0.051077384269716364,0.08088412641672571,0.14400919609422552
bvic,General,inf,0.348,0.050961136140953094,0.0805069390624468,0.13873597430093282
bvic,General,inf,0.43499999999999994,0.05091877867401459,0.08009355077808762,0.1346461376375585
bvic,General,inf,0.522,0.050776271286321575,0.0795530259299369,0.1308503380994413
bvic,General,inf,0.609,0.050554508180877165,0.07906239908173779,0.1274041796615228
bvic,General,inf,0.696,0.05028343832175918,0.07849100108597236,0.12371304175071186
bvic,General,inf,0.7829999999999999,0.0500993739341327,0.07782882612909639,0.11983719047802929
bvic,General,inf,0.8699999999999999,0.04975714955172442,0.0771201854379572,0.11671890719812501
bvic,General,inf,0.957,0.049568179557728256,0.076471668530734,0.11408371100268111
bvic,General,inf,1.044,0.04925933843250331,0.07565157766536168,0.11118656483618443
bvic,General,inf,1.131,0.04891703172364704,0.07480397586255008,0.10848208287861896
bvic,General,inf,1.218,0.04853113496173198,0.07390618910881176,0.10607544843223818
bvic,General,inf,1.305,0.04812854568327238,0.07304200044219156,0.1038422183352821
bvic,General,inf,1.392,0.047693230681361415,0.07206997209100108,0.10211118090252562
bvic,General,inf,1.4789999999999999,0.04737311816248592,0.0710653762553004,0.10021071815470772
bvic,General,inf,1.5659999999999998,0.046676300688912604,0.06999806551184001,0.09794210751463263
bvic,General,inf,1.6529999999999998,0.04605526668440991,0.06888661864488906,0.09588992522239008
bvic,General,inf,1.7399999999999998,0.045494071993666736,0.06770677394473171,0.09461138853330645
bvic,General,inf,1.827,0.04461571098235603,0.06650340831221793,0.09302086058578561
bvic,General,inf,1.914,0.04378877268893949,0.06527519159365949,0.09132783665847917
bvic,General,inf,2.001,0.042778476281682555,0.06401012794955933,0.089850555147734
bvic,General,inf,2.088,0.041894502457627866,0.06273754363376066,0.08842135083022601
bvic,General,inf,2.175,0.04061010957577971,0.06151770981697632,0.08721566525770276
bvic,General,inf,2.262,0.039458924570490196,0.060206974334372595,0.08594941511463798
