term,model,true_value,nsam,theta,beta_0,beta_logTitre,par_varied,est_mean,est_sd,se_mean,coverage,converged
beta_0,logistic,-5,50,0,-5,1.5,nsam,-0.10193546533299391,0.490934377124967,0.44396157186294183,0.6267,1
beta_0,logistic,-5,100,-2.197224577336219,-5,1.5,lambda,2.3019658856930194,0.5326114316043795,0.50926082929086125,0,0.9997
beta_0,logistic,-5,100,-1.3862943611198906,-5,1.5,lambda,1.4163131513586324,0.37318393019704726,0.3678794275440574,0.001,1
beta_0,logistic,-5,100,-0.8472978603872034,-5,1.5,lambda,0.8365814833346552,0.3247187013742561,0.32203294566646046,0.0486,1
beta_0,logistic,-5,100,-0.4054651081081643,-5,1.5,lambda,0.36403248290808643,0.3207961115858892,0.3052922890049501,0.3874,1
beta_0,logistic,-5,100,0,-5,1.5,lambda,-0.07346938096433343,0.3210715684862309,0.30483017870513157,0.6452,1
beta_0,logistic,-5,100,0,-5,1.5,nsam,-0.07248512277420516,0.3290652123479817,0.3053775008866513,0.6307,1
beta_0,logistic,-5,100,0.4054651081081642,-5,1.5,lambda,-0.5260897516320664,0.3569775164434721,0.3197756131422504,0.2521,1
beta_0,logistic,-5,100,0.8472978603872039,-5,1.5,lambda,-1.054700440334908,0.4111164269210391,0.35433160368873484,0.016,1
beta_0,logistic,-5,100,1.3862943611198908,-5,1.5,lambda,-1.7115801057585893,0.518418657410382,0.42103870839601915,3e-4,1
beta_0,logistic,-5,100,2.1972245773362196,-5,1.5,lambda,-2.751711450773847,0.7325767891333618,0.571998097414943,0,1
beta_0,logistic,-5,100,Inf,-5,1.5,lambda,-5.396539624497021,1.347990699814743,1.1478090569881683,0,1
beta_0,logistic,-5,200,0,-5,1.5,nsam,-0.06437089358576027,0.22576073096915322,0.21273157932100895,0.6275,1
beta_0,logistic,-5,300,0,-5,1.5,nsam,-0.06323634183213893,0.1838158477474602,0.17321517318488514,0.6238,1
beta_0,logistic,-5,400,0,-5,1.5,nsam,-0.05721016191072912,0.15740639111467414,0.1496446692756058,0.6205,1
beta_0,logistic,-5,500,0,-5,1.5,nsam,-0.05989010494891327,0.14135440190732754,0.1336097064677366,0.609,1
beta_0,logistic,-5,600,0,-5,1.5,nsam,-0.05729303266410864,0.1299268208831636,0.12193695991304992,0.6064,1
beta_0,logistic,-5,700,0,-5,1.5,nsam,-0.0559209614611339,0.11959791448088691,0.11276305120663192,0.6055,1
beta_0,logistic,-5,800,0,-5,1.5,nsam,-0.058832177001701756,0.10960232351164732,0.10543319135913704,0.592,1
beta_0,logistic,-5,900,0,-5,1.5,nsam,-0.05664025844658022,0.10478327237550975,0.09936683712078645,0.5861,1
beta_0,logistic,-5,1000,0,-5,1.5,nsam,-0.05701004209497829,0.09949317519940806,0.09427095901623947,0.5815,1
beta_0,logistic,-5,10000,0,-5,1.5,nsam,-0.05474130355553654,0.03198735988552172,0.02974088706160267,0.2075,1
beta_0,scaled_logit,-5,50,0,-5,1.5,nsam,-6.823740551941444,8.337732277088922,8.445258516319168,1,0.5795
beta_0,scaled_logit,-5,100,-2.197224577336219,-5,1.5,lambda,-2.322936367309888,2.727132772145124,6.249454999365964,1,0.2702
beta_0,scaled_logit,-5,100,-1.3862943611198906,-5,1.5,lambda,-4.5164827285666,4.272122364092694,6.443038947147094,1,0.4698
beta_0,scaled_logit,-5,100,-0.8472978603872034,-5,1.5,lambda,-6.005103155432192,6.084086499711532,7.283450790779125,1,0.6246
beta_0,scaled_logit,-5,100,-0.4054651081081643,-5,1.5,lambda,-7.123164544031973,8.351740341182053,7.556637755157815,1,0.7351
beta_0,scaled_logit,-5,100,0,-5,1.5,lambda,-7.705897612404879,9.744644157351729,7.465122575021969,1,0.8247
beta_0,scaled_logit,-5,100,0,-5,1.5,nsam,-7.726699601078234,10.432010903676375,7.3515748120419895,1,0.8217
beta_0,scaled_logit,-5,100,0.4054651081081642,-5,1.5,lambda,-7.912447985833634,13.253898819611598,8.975891975473903,1,0.8767
beta_0,scaled_logit,-5,100,0.8472978603872039,-5,1.5,lambda,-7.603164432939507,11.287335360260577,5.937830558735127,1,0.9176
beta_0,scaled_logit,-5,100,1.3862943611198908,-5,1.5,lambda,-7.60175214015621,12.12339953736668,5.0234626913056335,1,0.9247
beta_0,scaled_logit,-5,100,2.1972245773362196,-5,1.5,lambda,-7.0386352444775575,8.981583981978943,3.645070740890445,1,0.866
beta_0,scaled_logit,-5,100,Inf,-5,1.5,lambda,-8.142990950062948,7.468498695588712,3.513624910590547,1,0.1917
beta_0,scaled_logit,-5,200,0,-5,1.5,nsam,-7.0411211583038025,9.632973844998592,4.854653026691021,1,0.9643
beta_0,scaled_logit,-5,300,0,-5,1.5,nsam,-6.194660909864772,5.545115550521188,2.8962760607593245,1,0.9913
beta_0,scaled_logit,-5,400,0,-5,1.5,nsam,-5.922505241366894,5.660579702878009,2.435243756254593,1,0.9974
beta_0,scaled_logit,-5,500,0,-5,1.5,nsam,-5.608382114755882,2.9183525002213,1.8797007313538827,1,0.999
beta_0,scaled_logit,-5,600,0,-5,1.5,nsam,-5.449331878242563,2.0338582707145685,1.5893019969259254,1,0.9997
beta_0,scaled_logit,-5,700,0,-5,1.5,nsam,-5.345153265257363,1.5974863165828188,1.430973848151934,1,1
beta_0,scaled_logit,-5,800,0,-5,1.5,nsam,-5.292489612888368,1.518419561504896,1.3130572735786687,1,0.9999
beta_0,scaled_logit,-5,900,0,-5,1.5,nsam,-5.230504534992086,1.2894849375479938,1.2133906115548392,1,0.9998
beta_0,scaled_logit,-5,1000,0,-5,1.5,nsam,-5.241808266179274,1.204281251048475,1.1456424340326485,1,0.9999
beta_0,scaled_logit,-5,10000,0,-5,1.5,nsam,-5.016500598860525,0.3411582286494972,0.33764838015508947,1,0.9999
beta_logTitre,logistic,1.5,50,0,-5,1.5,nsam,0.3812832663198128,0.1859425641871811,0.18378349619239148,0.0877,1
beta_logTitre,logistic,1.5,100,-2.197224577336219,-5,1.5,lambda,0.23562556840548446,0.19732065063291582,0.2190998587368996,0.43543062918875663,0.9997
beta_logTitre,logistic,1.5,100,-1.3862943611198906,-5,1.5,lambda,0.2550302169701485,0.13959653410438363,0.15790437857096715,0.2136,1
beta_logTitre,logistic,1.5,100,-0.8472978603872034,-5,1.5,lambda,0.28487152229585777,0.12424510517734941,0.13679039023573009,0.085,1
beta_logTitre,logistic,1.5,100,-0.4054651081081643,-5,1.5,lambda,0.3188431461222286,0.12121434443499791,0.12758734907694577,0.0312,1
beta_logTitre,logistic,1.5,100,0,-5,1.5,lambda,0.36378967635973836,0.12213438085305345,0.12490920063174757,0.0078,1
beta_logTitre,logistic,1.5,100,0,-5,1.5,nsam,0.3643415229668159,0.12083186734612184,0.1250348468986342,0.0097,1
beta_logTitre,logistic,1.5,100,0.4054651081081642,-5,1.5,lambda,0.4244232228092921,0.13069850179023748,0.12748099200273247,0.0026,1
beta_logTitre,logistic,1.5,100,0.8472978603872039,-5,1.5,lambda,0.5154055460876422,0.14628155427813616,0.13613922429933023,3e-4,1
beta_logTitre,logistic,1.5,100,1.3862943611198908,-5,1.5,lambda,0.6506723711501526,0.17902139270911038,0.15461113698355394,0,1
beta_logTitre,logistic,1.5,100,2.1972245773362196,-5,1.5,lambda,0.9011790207142314,0.24110511880876492,0.1970813744088455,0,1
beta_logTitre,logistic,1.5,100,Inf,-5,1.5,lambda,1.625939429274041,0.4197632690881686,0.3621749079569083,0,1
beta_logTitre,logistic,1.5,200,0,-5,1.5,nsam,0.35562827982700246,0.08298669190582483,0.08658981583201988,0,1
